name,value,n,rank
1,x,36,1
1,q,93,2
1,z,176,3
1,y,225,4
1,v,404,5
1,u,420,6
1,j,446,7
1,i,473,8
1,o,532,9
1,w,596,10
1,n,647,11
1,e,693,12
1,k,789,13
1,h,844,14
1,f,847,15
1,r,948,16
1,g,965,17
1,l,1046,18
1,d,1128,19
1,p,1184,20
1,m,1225,21
1,t,1264,22
1,c,1512,23
1,b,1555,24
1,a,1698,25
1,s,2206,26
2,q,25,1
2,j,32,2
2,z,59,3
2,f,73,4
2,x,83,5
2,v,126,6
2,k,137,7
2,g,139,8
2,b,172,9
2,w,226,10
2,d,245,11
2,m,327,12
2,p,336,13
2,c,338,14
2,s,341,15
2,t,403,16
2,y,458,17
2,n,671,18
2,h,927,19
2,l,1193,20
2,r,1543,21
2,u,1824,22
2,i,2239,23
2,e,2863,24
2,o,3069,25
2,a,4103,26
3,q,32,1
3,j,81,2
3,x,170,3
3,z,217,4
3,f,271,5
3,h,334,6
3,w,349,7
3,y,381,8
3,k,406,9
3,v,417,10
3,p,560,11
3,g,616,12
3,b,664,13
3,c,701,14
3,d,774,15
3,m,885,16
3,u,990,17
3,s,1021,18
3,t,1048,19
3,e,1421,20
3,o,1426,21
3,l,1603,22
3,i,1668,23
3,n,1757,24
3,a,1959,25
3,r,2201,26
4,q,5,1
4,x,26,2
4,j,61,3
4,z,186,4
4,w,192,5
4,v,259,6
4,y,271,7
4,f,278,8
4,b,423,9
4,h,423,10
4,p,526,11
4,g,612,12
4,m,612,13
4,k,628,14
4,c,770,15
4,d,829,16
4,u,899,17
4,s,945,18
4,r,1225,19
4,o,1282,20
4,l,1295,21
4,t,1385,22
4,n,1391,23
4,i,1963,24
4,a,2214,25
4,e,3252,26
5,q,9,1
5,j,10,2
5,v,41,3
5,w,122,4
5,z,122,5
5,b,129,6
5,x,144,7
5,f,145,8
5,u,247,9
5,g,261,10
5,p,285,11
5,c,300,12
5,m,406,13
5,k,502,14
5,h,654,15
5,o,857,16
5,i,910,17
5,d,917,18
5,l,971,19
5,r,1190,20
5,t,1284,21
5,n,1522,22
5,y,2116,23
5,a,2362,24
5,e,2679,25
5,s,3767,26
