word,x1,x2,x3,x4,x5,score,uni_len
bares,1555,4103,2201,3252,3767,14878,5
cares,1512,4103,2201,3252,3767,14835,5
tares,1264,4103,2201,3252,3767,14587,5
mares,1225,4103,2201,3252,3767,14548,5
pares,1184,4103,2201,3252,3767,14507,5
dares,1128,4103,2201,3252,3767,14451,5
banes,1555,4103,1757,3252,3767,14434,5
canes,1512,4103,1757,3252,3767,14391,5
lares,1046,4103,2201,3252,3767,14369,5
bales,1555,4103,1603,3252,3767,14280,5
fares,847,4103,2201,3252,3767,14170,5
hares,844,4103,2201,3252,3767,14167,5
manes,1225,4103,1757,3252,3767,14104,5
panes,1184,4103,1757,3252,3767,14063,5
danes,1128,4103,1757,3252,3767,14007,5
tales,1264,4103,1603,3252,3767,13989,5
nares,647,4103,2201,3252,3767,13970,5
males,1225,4103,1603,3252,3767,13950,5
lanes,1046,4103,1757,3252,3767,13925,5
wares,596,4103,2201,3252,3767,13919,5
pales,1184,4103,1603,3252,3767,13909,5
dales,1128,4103,1603,3252,3767,13853,5
bores,1555,3069,2201,3252,3767,13844,5
cores,1512,3069,2201,3252,3767,13801,5
fanes,847,4103,1757,3252,3767,13726,5
bates,1555,4103,1048,3252,3767,13725,5
gales,965,4103,1603,3252,3767,13690,5
cates,1512,4103,1048,3252,3767,13682,5
rales,948,4103,1603,3252,3767,13673,5
kanes,789,4103,1757,3252,3767,13668,5
baris,1555,4103,2201,1963,3767,13589,5
hales,844,4103,1603,3252,3767,13569,5
tores,1264,3069,2201,3252,3767,13553,5
cames,1512,4103,885,3252,3767,13519,5
kales,789,4103,1603,3252,3767,13514,5
mores,1225,3069,2201,3252,3767,13514,5
wanes,596,4103,1757,3252,3767,13475,5
pores,1184,3069,2201,3252,3767,13473,5
cades,1512,4103,774,3252,3767,13408,5
bones,1555,3069,1757,3252,3767,13400,5
mates,1225,4103,1048,3252,3767,13395,5
cones,1512,3069,1757,3252,3767,13357,5
pates,1184,4103,1048,3252,3767,13354,5
lores,1046,3069,2201,3252,3767,13335,5
janes,446,4103,1757,3252,3767,13325,5
wales,596,4103,1603,3252,3767,13321,5
dates,1128,4103,1048,3252,3767,13298,5
vanes,404,4103,1757,3252,3767,13283,5
tames,1264,4103,885,3252,3767,13271,5
maris,1225,4103,2201,1963,3767,13259,5
gores,965,3069,2201,3252,3767,13254,5
cages,1512,4103,616,3252,3767,13250,5
boles,1555,3069,1603,3252,3767,13246,5
paris,1184,4103,2201,1963,3767,13218,5
coles,1512,3069,1603,3252,3767,13203,5
capes,1512,4103,560,3252,3767,13194,5
carey,1512,4103,2201,3252,2116,13184,5
tades,1264,4103,774,3252,3767,13160,5
aires,1698,2239,2201,3252,3767,13157,5
fores,847,3069,2201,3252,3767,13136,5
dames,1128,4103,885,3252,3767,13135,5
gates,965,4103,1048,3252,3767,13135,5
vales,404,4103,1603,3252,3767,13129,5
rates,948,4103,1048,3252,3767,13118,5
tones,1264,3069,1757,3252,3767,13109,5
canis,1512,4103,1757,1963,3767,13102,5
taces,1264,4103,701,3252,3767,13087,5
bakes,1555,4103,406,3252,3767,13083,5
laris,1046,4103,2201,1963,3767,13080,5
lames,1046,4103,885,3252,3767,13053,5
caves,1512,4103,417,3252,3767,13051,5
tabes,1264,4103,664,3252,3767,13050,5
maces,1225,4103,701,3252,3767,13048,5
cakes,1512,4103,406,3252,3767,13040,5
pones,1184,3069,1757,3252,3767,13029,5
barns,1555,4103,2201,1391,3767,13017,5
fates,847,4103,1048,3252,3767,13017,5
cayes,1512,4103,381,3252,3767,13015,5
hates,844,4103,1048,3252,3767,13014,5
mabes,1225,4103,664,3252,3767,13011,5
paces,1184,4103,701,3252,3767,13007,5
carns,1512,4103,2201,1391,3767,12974,5
games,965,4103,885,3252,3767,12972,5
cires,1512,2239,2201,3252,3767,12971,5
carts,1512,4103,2201,1385,3767,12968,5
mages,1225,4103,616,3252,3767,12963,5
toles,1264,3069,1603,3252,3767,12955,5
daces,1128,4103,701,3252,3767,12951,5
tapes,1264,4103,560,3252,3767,12946,5
lades,1046,4103,774,3252,3767,12942,5
pages,1184,4103,616,3252,3767,12922,5
moles,1225,3069,1603,3252,3767,12916,5
mapes,1225,4103,560,3252,3767,12907,5
cafes,1512,4103,271,3252,3767,12905,5
zales,176,4103,1603,3252,3767,12901,5
carls,1512,4103,2201,1295,3767,12878,5
poles,1184,3069,1603,3252,3767,12875,5
laces,1046,4103,701,3252,3767,12869,5
gades,965,4103,774,3252,3767,12861,5
fames,847,4103,885,3252,3767,12854,5
tanis,1264,4103,1757,1963,3767,12854,5
hames,844,4103,885,3252,3767,12851,5
aotes,1698,3069,1048,3252,3767,12834,5
doles,1128,3069,1603,3252,3767,12819,5
nates,647,4103,1048,3252,3767,12817,5
manis,1225,4103,1757,1963,3767,12815,5
boras,1555,3069,2201,2214,3767,12806,5
kames,789,4103,885,3252,3767,12796,5
takes,1264,4103,406,3252,3767,12792,5
races,948,4103,701,3252,3767,12771,5
makes,1225,4103,406,3252,3767,12753,5
gabes,965,4103,664,3252,3767,12751,5
fades,847,4103,774,3252,3767,12743,5
aures,1698,1824,2201,3252,3767,12742,5
caney,1512,4103,1757,3252,2116,12740,5
hades,844,4103,774,3252,3767,12740,5
mayes,1225,4103,381,3252,3767,12728,5
tarns,1264,4103,2201,1391,3767,12726,5
paves,1184,4103,417,3252,3767,12723,5
tires,1264,2239,2201,3252,3767,12723,5
oates,532,4103,1048,3252,3767,12702,5
talis,1264,4103,1603,1963,3767,12700,5
botes,1555,3069,1048,3252,3767,12691,5
hones,844,3069,1757,3252,3767,12689,5
rages,948,4103,616,3252,3767,12686,5
mires,1225,2239,2201,3252,3767,12684,5
marts,1225,4103,2201,1385,3767,12681,5
naris,647,4103,2201,1963,3767,12681,5
faces,847,4103,701,3252,3767,12670,5
goles,965,3069,1603,3252,3767,12656,5
names,647,4103,885,3252,3767,12654,5
cotes,1512,3069,1048,3252,3767,12648,5
gapes,965,4103,560,3252,3767,12647,5
parts,1184,4103,2201,1385,3767,12640,5
roles,948,3069,1603,3252,3767,12639,5
garey,965,4103,2201,3252,2116,12637,5
fabes,847,4103,664,3252,3767,12633,5
rapes,948,4103,560,3252,3767,12630,5
palis,1184,4103,1603,1963,3767,12620,5
taros,1264,4103,2201,1282,3767,12617,5
wames,596,4103,885,3252,3767,12603,5
dawes,1128,4103,349,3252,3767,12599,5
marls,1225,4103,2201,1295,3767,12591,5
caren,1512,4103,2201,3252,1522,12590,5
darns,1128,4103,2201,1391,3767,12590,5
laves,1046,4103,417,3252,3767,12585,5
darts,1128,4103,2201,1385,3767,12584,5
maros,1225,4103,2201,1282,3767,12578,5
lakes,1046,4103,406,3252,3767,12574,5
vates,404,4103,1048,3252,3767,12574,5
bines,1555,2239,1757,3252,3767,12570,5
dalis,1128,4103,1603,1963,3767,12564,5
mazes,1225,4103,217,3252,3767,12564,5
ceras,1512,2863,2201,2214,3767,12557,5
cures,1512,1824,2201,3252,3767,12556,5
taxes,1264,4103,170,3252,3767,12556,5
boris,1555,3069,2201,1963,3767,12555,5
ranis,948,4103,1757,1963,3767,12538,5
paros,1184,4103,2201,1282,3767,12537,5
holes,844,3069,1603,3252,3767,12535,5
cines,1512,2239,1757,3252,3767,12527,5
cants,1512,4103,1757,1385,3767,12524,5
lawes,1046,4103,349,3252,3767,12517,5
toras,1264,3069,2201,2214,3767,12515,5
yores,225,3069,2201,3252,3767,12514,5
saner,2206,4103,1757,3252,1190,12508,5
barie,1555,4103,2201,1963,2679,12501,5
solea,2206,3069,1603,3252,2362,12492,5
taney,1264,4103,1757,3252,2116,12492,5
wades,596,4103,774,3252,3767,12492,5
raves,948,4103,417,3252,3767,12487,5
comes,1512,3069,885,3252,3767,12485,5
bains,1555,4103,1668,1391,3767,12484,5
carus,1512,4103,2201,899,3767,12482,5
baits,1555,4103,1668,1385,3767,12478,5
moras,1225,3069,2201,2214,3767,12476,5
paxes,1184,4103,170,3252,3767,12476,5
rakes,948,4103,406,3252,3767,12476,5
dazes,1128,4103,217,3252,3767,12467,5
tajes,1264,4103,81,3252,3767,12467,5
carie,1512,4103,2201,1963,2679,12458,5
bards,1555,4103,2201,829,3767,12455,5
james,446,4103,885,3252,3767,12453,5
maney,1225,4103,1757,3252,2116,12453,5
salet,2206,4103,1603,3252,1284,12448,5
cains,1512,4103,1668,1391,3767,12441,5
batis,1555,4103,1048,1963,3767,12436,5
nabes,647,4103,664,3252,3767,12433,5
canos,1512,4103,1757,1282,3767,12421,5
bodes,1555,3069,774,3252,3767,12417,5
biles,1555,2239,1603,3252,3767,12416,5
cards,1512,4103,2201,829,3767,12412,5
corea,1512,3069,2201,3252,2362,12396,5
baret,1555,4103,2201,3252,1284,12395,5
yates,225,4103,1048,3252,3767,12395,5
catis,1512,4103,1048,1963,3767,12393,5
bails,1555,4103,1668,1295,3767,12388,5
lazes,1046,4103,217,3252,3767,12385,5
haves,844,4103,417,3252,3767,12383,5
fakes,847,4103,406,3252,3767,12375,5
codes,1512,3069,774,3252,3767,12374,5
hakes,844,4103,406,3252,3767,12372,5
motes,1225,3069,1048,3252,3767,12361,5
daney,1128,4103,1757,3252,2116,12356,5
caret,1512,4103,2201,3252,1284,12352,5
hayes,844,4103,381,3252,3767,12347,5
jades,446,4103,774,3252,3767,12342,5
wages,596,4103,616,3252,3767,12334,5
napes,647,4103,560,3252,3767,12329,5
teras,1264,2863,2201,2214,3767,12309,5
fires,847,2239,2201,3252,3767,12306,5
harns,844,4103,2201,1391,3767,12306,5
gazes,965,4103,217,3252,3767,12304,5
farts,847,4103,2201,1385,3767,12303,5
hires,844,2239,2201,3252,3767,12303,5
maren,1225,4103,2201,3252,1522,12303,5
moues,1225,3069,990,3252,3767,12303,5
harts,844,4103,2201,1385,3767,12300,5
kayes,789,4103,381,3252,3767,12292,5
jones,446,3069,1757,3252,3767,12291,5
razes,948,4103,217,3252,3767,12287,5
tines,1264,2239,1757,3252,3767,12279,5
laney,1046,4103,1757,3252,2116,12274,5
meras,1225,2863,2201,2214,3767,12270,5
mures,1225,1824,2201,3252,3767,12269,5
dotes,1128,3069,1048,3252,3767,12264,5
paren,1184,4103,2201,3252,1522,12262,5
paley,1184,4103,1603,3252,2116,12258,5
barks,1555,4103,2201,628,3767,12254,5
karns,789,4103,2201,1391,3767,12251,5
soren,2206,3069,2201,3252,1522,12250,5
karts,789,4103,2201,1385,3767,12245,5
mines,1225,2239,1757,3252,3767,12240,5
raxes,948,4103,170,3252,3767,12240,5
barms,1555,4103,2201,612,3767,12238,5
tomes,1264,3069,885,3252,3767,12237,5
saned,2206,4103,1757,3252,917,12235,5
camis,1512,4103,885,1963,3767,12230,5
kalis,789,4103,1603,1963,3767,12225,5
farls,847,4103,2201,1295,3767,12213,5
carks,1512,4103,2201,628,3767,12211,5
calrs,1512,4103,1603,1225,3767,12210,5
harls,844,4103,2201,1295,3767,12210,5
tarie,1264,4103,2201,1963,2679,12210,5
bolas,1555,3069,1603,2214,3767,12208,5
daren,1128,4103,2201,3252,1522,12206,5
daley,1128,4103,1603,3252,2116,12202,5
faros,847,4103,2201,1282,3767,12200,5
pines,1184,2239,1757,3252,3767,12199,5
pants,1184,4103,1757,1385,3767,12196,5
tains,1264,4103,1668,1391,3767,12193,5
fazes,847,4103,217,3252,3767,12186,5
naves,647,4103,417,3252,3767,12186,5
hazes,844,4103,217,3252,3767,12183,5
raney,948,4103,1757,3252,2116,12176,5
dures,1128,1824,2201,3252,3767,12172,5
marie,1225,4103,2201,1963,2679,12171,5
colas,1512,3069,1603,2214,3767,12165,5
copes,1512,3069,560,3252,3767,12160,5
pomes,1184,3069,885,3252,3767,12157,5
earns,693,4103,2201,1391,3767,12155,5
mains,1225,4103,1668,1391,3767,12154,5
parus,1184,4103,2201,899,3767,12154,5
rajes,948,4103,81,3252,3767,12151,5
corey,1512,3069,2201,3252,2116,12150,5
saied,2206,4103,1668,3252,917,12146,5
dines,1128,2239,1757,3252,3767,12143,5
karos,789,4103,2201,1282,3767,12142,5
faxes,847,4103,170,3252,3767,12139,5
joles,446,3069,1603,3252,3767,12137,5
waves,596,4103,417,3252,3767,12135,5
manos,1225,4103,1757,1282,3767,12134,5
doris,1128,3069,2201,1963,3767,12128,5
japes,446,4103,560,3252,3767,12128,5
tiles,1264,2239,1603,3252,3767,12125,5
wakes,596,4103,406,3252,3767,12124,5
cadis,1512,4103,774,1963,3767,12119,5
pains,1184,4103,1668,1391,3767,12113,5
bonis,1555,3069,1757,1963,3767,12111,5
carps,1512,4103,2201,526,3767,12109,5
morea,1225,3069,2201,3252,2362,12109,5
domes,1128,3069,885,3252,3767,12101,5
tails,1264,4103,1668,1295,3767,12097,5
horas,844,3069,2201,2214,3767,12095,5
voles,404,3069,1603,3252,3767,12095,5
savey,2206,4103,417,3252,2116,12094,5
panos,1184,4103,1757,1282,3767,12093,5
lures,1046,1824,2201,3252,3767,12090,5
bacis,1555,4103,701,1963,3767,12089,5
modes,1225,3069,774,3252,3767,12087,5
miles,1225,2239,1603,3252,3767,12086,5
pards,1184,4103,2201,829,3767,12084,5
rotes,948,3069,1048,3252,3767,12084,5
malts,1225,4103,1603,1385,3767,12083,5
banus,1555,4103,1757,899,3767,12081,5
braes,1555,1543,1959,3252,3767,12076,5
haney,844,4103,1757,3252,2116,12072,5
oaves,532,4103,417,3252,3767,12071,5
marcs,1225,4103,2201,770,3767,12066,5
lines,1046,2239,1757,3252,3767,12061,5
oakes,532,4103,406,3252,3767,12060,5
earls,693,4103,2201,1295,3767,12059,5
mails,1225,4103,1668,1295,3767,12058,5
warns,596,4103,2201,1391,3767,12058,5
wires,596,2239,2201,3252,3767,12055,5
warts,596,4103,2201,1385,3767,12052,5
hajes,844,4103,81,3252,3767,12047,5
loris,1046,3069,2201,1963,3767,12046,5
podes,1184,3069,774,3252,3767,12046,5
piles,1184,2239,1603,3252,3767,12045,5
saite,2206,4103,1668,1385,2679,12041,5
carel,1512,4103,2201,3252,971,12039,5
galey,965,4103,1603,3252,2116,12039,5
janis,446,4103,1757,1963,3767,12036,5
monas,1225,3069,1757,2214,3767,12032,5
bared,1555,4103,2201,3252,917,12028,5
roues,948,3069,990,3252,3767,12026,5
boyes,1555,3069,381,3252,3767,12024,5
zones,176,3069,1757,3252,3767,12021,5
meris,1225,2863,2201,1963,3767,12019,5
talos,1264,4103,1603,1282,3767,12019,5
coves,1512,3069,417,3252,3767,12017,5
pails,1184,4103,1668,1295,3767,12017,5
larus,1046,4103,2201,899,3767,12016,5
bands,1555,4103,1757,829,3767,12011,5
carbs,1512,4103,2201,423,3767,12006,5
cokes,1512,3069,406,3252,3767,12006,5
casey,1512,4103,1021,3252,2116,12004,5
satie,2206,4103,1048,1963,2679,11999,5
sarin,2206,4103,2201,1963,1522,11995,5
bowes,1555,3069,349,3252,3767,11992,5
calen,1512,4103,1603,3252,1522,11992,5
mairs,1225,4103,1668,1225,3767,11988,5
cared,1512,4103,2201,3252,917,11985,5
tamis,1264,4103,885,1963,3767,11982,5
peris,1184,2863,2201,1963,3767,11978,5
borts,1555,3069,2201,1385,3767,11977,5
jakes,446,4103,406,3252,3767,11974,5
samen,2206,4103,885,3252,1522,11968,5
rants,948,4103,1757,1385,3767,11960,5
bolis,1555,3069,1603,1963,3767,11957,5
bancs,1555,4103,1757,770,3767,11952,5
caius,1512,4103,1668,899,3767,11949,5
cowes,1512,3069,349,3252,3767,11949,5
pairs,1184,4103,1668,1225,3767,11947,5
lards,1046,4103,2201,829,3767,11946,5
corns,1512,3069,2201,1391,3767,11940,5
palos,1184,4103,1603,1282,3767,11939,5
donas,1128,3069,1757,2214,3767,11935,5
aries,1698,1543,1668,3252,3767,11928,5
latis,1046,4103,1048,1963,3767,11927,5
marks,1225,4103,2201,628,3767,11924,5
haley,844,4103,1603,3252,2116,11918,5
tolas,1264,3069,1603,2214,3767,11917,5
colis,1512,3069,1603,1963,3767,11914,5
topes,1264,3069,560,3252,3767,11912,5
lodes,1046,3069,774,3252,3767,11908,5
sarex,2206,4103,2201,3252,144,11906,5
benis,1555,2863,1757,1963,3767,11905,5
barfs,1555,4103,2201,278,3767,11904,5
torey,1264,3069,2201,3252,2116,11902,5
gains,965,4103,1668,1391,3767,11894,5
gaits,965,4103,1668,1385,3767,11888,5
waxes,596,4103,170,3252,3767,11888,5
carne,1512,4103,2201,1391,2679,11886,5
parks,1184,4103,2201,628,3767,11883,5
saire,2206,4103,1668,1225,2679,11881,5
carte,1512,4103,2201,1385,2679,11880,5
caids,1512,4103,1668,829,3767,11879,5
molas,1225,3069,1603,2214,3767,11878,5
rains,948,4103,1668,1391,3767,11877,5
mopes,1225,3069,560,3252,3767,11873,5
camey,1512,4103,885,3252,2116,11868,5
karen,789,4103,2201,3252,1522,11867,5
tunes,1264,1824,1757,3252,3767,11864,5
arles,1698,1543,1603,3252,3767,11863,5
morey,1225,3069,2201,3252,2116,11863,5
vires,404,2239,2201,3252,3767,11863,5
cenis,1512,2863,1757,1963,3767,11862,5
fines,847,2239,1757,3252,3767,11862,5
bites,1555,2239,1048,3252,3767,11861,5
tarps,1264,4103,2201,526,3767,11861,5
calie,1512,4103,1603,1963,2679,11860,5
hines,844,2239,1757,3252,3767,11859,5
balds,1555,4103,1603,829,3767,11857,5
hants,844,4103,1757,1385,3767,11856,5
ualis,420,4103,1603,1963,3767,11856,5
taels,1264,4103,1421,1295,3767,11850,5
doges,1128,3069,616,3252,3767,11832,5
darks,1128,4103,2201,628,3767,11827,5
giles,965,2239,1603,3252,3767,11826,5
waney,596,4103,1757,3252,2116,11824,5
fomes,847,3069,885,3252,3767,11820,5
cites,1512,2239,1048,3252,3767,11818,5
cozes,1512,3069,217,3252,3767,11817,5
homes,844,3069,885,3252,3767,11817,5
caner,1512,4103,1757,3252,1190,11814,5
boxes,1555,3069,170,3252,3767,11813,5
jarls,446,4103,2201,1295,3767,11812,5
banks,1555,4103,1757,628,3767,11810,5
lairs,1046,4103,1668,1225,3767,11809,5
riles,948,2239,1603,3252,3767,11809,5
saone,2206,4103,1426,1391,2679,11805,5
kines,789,2239,1757,3252,3767,11804,5
sarge,2206,4103,2201,612,2679,11801,5
lobes,1046,3069,664,3252,3767,11798,5
bangs,1555,4103,1757,612,3767,11794,5
padis,1184,4103,774,1963,3767,11791,5
carle,1512,4103,2201,1295,2679,11790,5
bries,1555,1543,1668,3252,3767,11785,5
notes,647,3069,1048,3252,3767,11783,5
rails,948,4103,1668,1295,3767,11781,5
